date,y
2017-07-10,1.44025591
2017-07-17,1.18652112
2017-07-24,1.196945395
2017-07-31,0.675179555
2017-08-07,0.85152764
2017-08-14,1.09525334
2017-08-21,0.911939778
2017-08-28,0.911939778
2017-09-04,1.918297219
2017-09-11,1.824560239
2017-09-18,3.83066939
2017-09-25,4.732003364
2017-10-02,3.304891239
2017-10-09,3.749355579
2017-10-16,3.338276052
2017-10-23,2.340197913
2017-10-30,2.421399114
2017-11-06,4.20664326
2017-11-13,3.286883804
2017-11-20,3.092215912
2017-11-27,3.78588237
2017-12-04,3.637416395
2017-12-11,5.196309135
2017-12-18,8.388327605
2017-12-25,5.406633704
2018-01-08,8.301564401
2018-01-15,9.828887995
2018-01-22,11.020268358
2018-01-29,16.600970285
2018-02-05,16.158096174
2018-02-12,15.636867265
2018-02-19,14.519948174
2018-02-26,16.291297667
2018-03-05,16.600613175
2018-03-12,16.966161532
2018-03-19,11.62362556
2018-03-26,8.519178982
2018-04-02,6.982316365
2018-04-09,5.053750243
2018-04-16,5.461916594
2018-04-23,3.591505309
2018-04-30,2.570173525
2018-05-07,2.772167438
2018-05-14,1.698451982
2018-05-21,2.065323223
2018-05-28,2.286607854
2018-06-04,1.770277048
2018-06-11,1.696515504
2018-06-18,2.028245192
2018-06-25,1.729362316
2018-07-02,2.583252923
2018-07-09,2.481258975
2018-07-16,1.968813986
2018-07-23,1.426522218
2018-07-30,1.216801596
2018-08-06,1.089943712
